date,search
2019-01-01,7.0
2019-02-01,13.0
2019-03-01,9.0
2019-04-01,12.0
2019-05-01,7.0
2019-06-01,0.0
2019-07-01,13.0
2019-08-01,28.0
2019-09-01,21.0
2019-10-01,14.0
2019-11-01,26.0
2019-12-01,19.0
2020-01-01,20.0
2020-02-01,27.0
2020-03-01,19.0
2020-04-01,20.0
2020-05-01,17.0
2020-06-01,39.0
2020-07-01,32.0
2020-08-01,33.0
2020-09-01,43.0
2020-10-01,36.0
2020-11-01,31.0
2020-12-01,38.0
2021-01-01,38.0
2021-02-01,30.0
2021-03-01,32.0
2021-04-01,44.0
2021-05-01,57.0
2021-06-01,55.0
2021-07-01,57.0
2021-08-01,68.0
2021-09-01,71.0
2021-10-01,76.0
2021-11-01,73.0
2021-12-01,43.0
2022-01-01,35.0
2022-02-01,33.0
2022-03-01,30.0
2022-04-01,27.0
2022-05-01,33.0
2022-06-01,27.0
2022-07-01,28.0
2022-08-01,33.0
2022-09-01,29.0
2022-10-01,39.0
2022-11-01,23.0
2022-12-01,21.0
2023-01-01,33.0
2023-02-01,21.0
2023-03-01,25.0
2023-04-01,26.0
2023-05-01,33.0
2023-06-01,27.0
2023-07-01,25.0
2023-08-01,29.0
2023-09-01,24.0
2023-10-01,20.0
2023-11-01,23.0
2023-12-01,27.0
2024-01-01,23.0
2024-02-01,26.0
2024-03-01,33.0
2024-04-01,24.0
2024-05-01,26.0
2024-06-01,20.0
2024-07-01,15.0
2024-08-01,21.0
2024-09-01,28.0
2024-10-01,24.0
2024-11-01,20.0
2024-12-01,21.0
2025-01-01,22.0
2025-02-01,27.0
2025-03-01,22.0
2025-04-01,29.0
2025-05-01,30.0
2025-06-01,36.0
2025-07-01,65.0
2025-08-01,25.0
2025-09-01,16.0
2025-10-01,15.0
2025-11-01,55.0
2025-12-01,67.0
2026-01-01,69.0
2026-02-01,100.0
2026-03-01,76.0
2026-04-01,55.0
2026-05-01,50.0
