date,search
2019-01-01,30.0
2019-02-01,39.0
2019-03-01,37.0
2019-04-01,52.0
2019-05-01,41.0
2019-06-01,34.0
2019-07-01,98.0
2019-08-01,84.0
2019-09-01,84.0
2019-10-01,65.0
2019-11-01,52.0
2019-12-01,43.0
2020-01-01,54.0
2020-02-01,76.0
2020-03-01,46.0
2020-04-01,43.0
2020-05-01,26.0
2020-06-01,39.0
2020-07-01,51.0
2020-08-01,51.0
2020-09-01,50.0
2020-10-01,95.0
2020-11-01,44.0
2020-12-01,31.0
2021-01-01,45.0
2021-02-01,18.0
2021-03-01,32.0
2021-04-01,29.0
2021-05-01,50.0
2021-06-01,39.0
2021-07-01,54.0
2021-08-01,68.0
2021-09-01,54.0
2021-10-01,57.0
2021-11-01,50.0
2021-12-01,28.0
2022-01-01,34.0
2022-02-01,17.0
2022-03-01,28.0
2022-04-01,37.0
2022-05-01,39.0
2022-06-01,43.0
2022-07-01,44.0
2022-08-01,51.0
2022-09-01,38.0
2022-10-01,49.0
2022-11-01,27.0
2022-12-01,34.0
2023-01-01,29.0
2023-02-01,32.0
2023-03-01,26.0
2023-04-01,21.0
2023-05-01,35.0
2023-06-01,30.0
2023-07-01,37.0
2023-08-01,37.0
2023-09-01,44.0
2023-10-01,38.0
2023-11-01,38.0
2023-12-01,30.0
2024-01-01,29.0
2024-02-01,36.0
2024-03-01,30.0
2024-04-01,40.0
2024-05-01,28.0
2024-06-01,36.0
2024-07-01,42.0
2024-08-01,42.0
2024-09-01,38.0
2024-10-01,40.0
2024-11-01,28.0
2024-12-01,38.0
2025-01-01,35.0
2025-02-01,27.0
2025-03-01,55.0
2025-04-01,37.0
2025-05-01,33.0
2025-06-01,41.0
2025-07-01,78.0
2025-08-01,45.0
2025-09-01,49.0
2025-10-01,34.0
2025-11-01,67.0
2025-12-01,79.0
2026-01-01,74.0
2026-02-01,100.0
2026-03-01,84.0
2026-04-01,64.0
2026-05-01,71.0
